RadDecay File: Nuclides.Rec
Symbol, Name, Atomic Num,  Atomic Mass, Weight, Half Life, Units, Daugh 1, Branch1, Daugh 2, Branch2
Kr-79   	Krypton	36	79	83.800	3,5040E+1	H
Kr-81   	Krypton	36	81	83.800	2,1000E+5	Y
Kr-83m  	Krypton	36	83	83.800	1,8300E+0	H
Kr-85   	Krypton	36	85	83.800	1,0720E+1	Y
Kr-85m  	Krypton	36	85	83.800	4,4800E+0	H	Kr-85   	0.2110
Kr-87   	Krypton	36	87	83.800	7,6300E+1	M	Rb-87   	1.0000
Kr-88   	Krypton	36	88	83.800	2,8400E+0	H	Rb-88   	1.0000
Kr-89   	Krypton	36	89	83.800	3,1600E+0	M	Rb-89   	1.0000
Kr-90   	Krypton	36	90	83.800	3,2320E+1	S	Rb-90   	0.8810	Rb-90m  	0.1190
La-140  	Lanthanum	57	140	138.906	4,0220E+1	H
La-141  	Lanthanum	57	141	138.906	3,9400E+0	H	Ce-141  	1.0000
La-142  	Lanthanum	57	142	138.906	9,5400E+1	M
Lu-177  	Lutetium	71	177	174.967	6,7100E+0	D
Lu-177m 	Lutetium	71	177	174.967	1,6010E+2	D	Lu-177  	0.2150
Mg-27   	Magnesium	12	27	24.305	9,4580E+0	M
Mg-28   	Magnesium	12	28	24.305	2,0910E+1	H	Al-28   	1.0000
Mn-52   	Manganese	25	52	54.938	5,5910E+0	D
Mn-52m  	Manganese	25	52	54.938	2,1400E+1	M	Mn-52   	0.0175
Mn-53   	Manganese	25	53	54.938	3,7000E+6	Y
Mn-54   	Manganese	25	54	54.938	3,1270E+2	D
Mn-56   	Manganese	25	56	54.938	2,5785E+0	H
Mn-57   	Manganese	25	57	54.938	1,4700E+0	M
Mo-91   	Molybdenum	42	91	95.940	1,5490E+1	M	Nb-91   	0.9997
Mo-93   	Molybdenum	42	93	95.940	3,5000E+3	Y	Nb-93m  	1.0000
Mo-99   	Molybdenum	42	99	95.940	6,6020E+1	H	Tc-99   	0.1140	Tc-99m  	0.8860
Mo-101  	Molybdenum	42	101	95.940	1,4610E+1	M	Tc-101  	1.0000
N-13    	Nitrogen	7	13	14.007	9,9700E+0	M
N-16    	Nitrogen	7	16	14.007	7,1300E+0	S
Na-22   	Sodium	11	22	22.990	2,6020E+0	Y
Na-24   	Sodium	11	24	22.990	1,5000E+1	H
Nb-90   	Niobium	41	90	92.906	1,4600E+1	H
Nb-91   	Niobium	41	91	92.906	1,0000E+4	Y
Nb-91m  	Niobium	41	91	92.906	6,1000E+1	D	Nb-91   	0.9650
Nb-92   	Niobium	41	92	92.906	3,6000E+7	Y
Nb-92m  	Niobium	41	92	92.906	1,0150E+1	D
Nb-93m  	Niobium	41	93	92.906	1,4600E+1	Y
Nb-94   	Niobium	41	94	92.906	2,0300E+4	Y
Nb-94m  	Niobium	41	94	92.906	6,2600E+0	M	Nb-94   	0.9953
Nb-95   	Niobium	41	95	92.906	3,5060E+1	D
Nb-95m  	Niobium	41	95	92.906	8,6600E+1	H	Nb-95   	0.9450
Nb-96   	Niobium	41	96	92.906	2,3350E+1	H
Nb-97   	Niobium	41	97	92.906	7,2100E+1	M
Nb-97m  	Niobium	41	97	92.906	6,0000E+1	S	Nb-97   	1.0000
Nd-147  	Neodymium	60	147	144.240	1,0980E+1	D	Pm-147  	1.0000
Nd-149  	Neodymium	60	149	144.240	1,7300E+0	H	Pm-149  	1.0000
Ni-56   	Nickel	28	56	58.690	6,1000E+0	D	Co-56   	1.0000
Ni-57   	Nickel	28	57	58.690	3,6080E+1	H	Co-57   	1.0000
Ni-59   	Nickel	28	59	58.690	7,5000E+4	Y
Ni-63   	Nickel	28	63	58.690	1,0010E+2	Y
Ni-65   	Nickel	28	65	58.690	2,5200E+0	H
Np-235  	Neptunium	93	235	237.048	3,9610E+2	D	U-235   	1.0000	Pa-231  	0.0000
Np-236  	Neptunium	93	236	237.048	1,1500E+5	Y	U-236   	0.9110	Pu-236  	0.0890
Np-236m 	Neptunium	93	236	237.048	2,2500E+1	H	U-236   	0.5200	Pu-236  	0.4800
Np-237  	Neptunium	93	237	237.048	2,1400E+6	Y	Pa-233  	1.0000
Np-238  	Neptunium	93	238	237.048	2,1170E+0	D	Pu-238  	1.0000
Np-239  	Neptunium	93	239	237.048	2,3550E+0	D	Pu-239  	1.0000
Np-240  	Neptunium	93	240	237.048	6,5000E+1	M	Pu-240  	1.0000
Np-240m 	Neptunium	93	240	237.048	7,4000E+0	M	Np-240  	0.0011	Pu-240  	0.9989
O-15    	Oxygen	8	15	15.999	1,2224E+2	S
Os-185  	Osmium	76	185	190.200	9,3600E+1	D
Os-186  	Osmium	76	186	190.200	2,0000E+15	Y
Os-190m 	Osmium	76	190	190.200	9,9000E+0	M
Os-191  	Osmium	76	191	190.200	1,5400E+1	D
Os-191m 	Osmium	76	191	190.200	1,3030E+1	H	Os-191  	1.0000
Os-193  	Osmium	76	193	190.200	3,0000E+1	H	Ir-193m 	0.0035
P-32    	Phosphorus	15	32	30.974	1,4290E+1	D
P-33    	Phosphorus	15	33	30.974	2,5400E+1	D
Pa-230  	Protactinium	91	230	231.036	1,7400E+1	D	Th-230  	0.9050	U-230   	0.0950
Pa-231  	Protactinium	91	231	231.036	3,2760E+4	Y	Ac-227  	1.0000
Pa-233  	Protactinium	91	233	231.036	2,7000E+1	D	U-233   	1.0000
Pa-234  	Protactinium	91	234	231.036	6,7000E+0	H	U-234   	1.0000
Pa-234m 	Protactinium	91	234	231.036	1,1700E+0	M	Pa-234  	0.0016	U-234   	0.9984
Pb-203  	Lead	82	203	207.200	5,2020E+1	H
Pb-204m 	Lead	82	204	207.200	6,6900E+1	M
Pb-205  	Lead	82	205	207.200	1,5100E+7	Y
Pb-209  	Lead	82	209	207.200	3,2530E+0	H
Pb-210  	Lead	82	210	207.200	2,2260E+1	Y	Bi-210  	1.0000
Pb-211  	Lead	82	211	207.200	3,6100E+1	M	Bi-211  	1.0000
Pb-212  	Lead	82	212	207.200	1,0643E+1	H	Bi-212  	1.0000
Pb-214  	Lead	82	214	207.200	2,6800E+1	M	Bi-214  	1.0000
Pd-103  	Palladium	46	103	106.420	1,6961E+1	D	Rh-103m 	0.9997
Pd-107  	Palladium	46	107	106.420	6,5000E+6	Y
Pd-109  	Palladium	46	109	106.420	1,3453E+1	H	Ag-109m 	0.9995
Pm-143  	Promethium	61	143	145.000	2,6500E+2	D
Pm-144  	Promethium	61	144	145.000	3,6300E+2	D
Pm-145  	Promethium	61	145	145.000	1,7700E+1	Y
Pm-146  	Promethium	61	146	145.000	2,0200E+3	D
Pm-147  	Promethium	61	147	145.000	2,6234E+0	Y	Sm-147  	1.0000
Pm-148  	Promethium	61	148	145.000	5,3700E+0	D
Pm-148m 	Promethium	61	148	145.000	4,1300E+1	D	Pm-148  	0.0420
Pm-149  	Promethium	61	149	145.000	5,3080E+1	H
