RadDecay Generated Info of: PHOTONS.REC
Probability, Energy(MeV), Nuclide
0.017145	0.123000	Am-244  
0.180000	0.154000	Am-244  
0.002600	0.206000	Am-244  
0.003800	0.540000	Am-244  
0.670000	0.746000	Am-244  
0.280000	0.900000	Am-244  
0.000930	0.042900	Am-244  
0.110010	0.015000	Am-245  
0.036268	0.104610	Am-245  
0.057844	0.109290	Am-245  
0.027481	0.123000	Am-245  
0.003416	0.241200	Am-245  
0.061000	0.252850	Am-245  
0.002196	0.295840	Am-245  
0.000975	0.095909	Am-245  
0.390560	0.015000	Am-246  
0.001668	0.099200	Am-246  
0.008818	0.104610	Am-246  
0.014063	0.109290	Am-246  
0.006681	0.123000	Am-246  
0.001444	0.237230	Am-246  
0.001469	0.238640	Am-246  
0.006847	0.244030	Am-246  
0.001569	0.261730	Am-246  
0.010259	0.270070	Am-246  
0.001295	0.287780	Am-246  
0.002664	0.401680	Am-246  
0.001081	0.493460	Am-246  
0.002341	0.602540	Am-246  
0.003685	0.649480	Am-246  
0.005876	0.684280	Am-246  
0.001170	0.698270	Am-246  
0.002540	0.717240	Am-246  
0.002141	0.724790	Am-246  
0.011728	0.734410	Am-246  
0.002365	0.745050	Am-246  
0.008217	0.752060	Am-246  
0.006449	0.759590	Am-246  
0.001693	0.781280	Am-246  
0.249000	0.798800	Am-246  
0.017928	0.833600	Am-246  
0.009611	0.986030	Am-246  
0.127490	1.036000	Am-246  
0.172060	1.062000	Am-246  
0.278880	1.078900	Am-246  
0.002490	1.081400	Am-246  
0.015338	1.085200	Am-246  
0.002614	1.124300	Am-246  
0.001494	1.207000	Am-246  
0.001494	1.249800	Am-246  
0.002689	1.274700	Am-246  
0.001205	1.348800	Am-246  
0.002291	1.479400	Am-246  
0.002241	1.529000	Am-246  
0.002739	1.550900	Am-246  
0.005229	1.590700	Am-246  
0.001023	1.604100	Am-246  
0.001155	1.618800	Am-246  
0.001618	1.638000	Am-246  
0.002266	1.661600	Am-246  
0.001121	1.737900	Am-246  
0.029580	0.914680	Am-246  
0.084816	0.002622	Ar-37   
0.991600	1.293600	Ar-41   
0.000520	1.677000	Ar-41   
0.000937	0.001190	As-72   
0.018228	0.009855	As-72   
0.035602	0.009886	As-72   
0.007967	0.011000	As-72   
0.003140	0.600850	As-72   
0.078584	0.629860	As-72   
0.004694	0.786430	As-72   
0.797000	0.834000	As-72   
0.007651	0.894220	As-72   
0.009883	1.050800	As-72   
0.002064	1.215100	As-72   
0.002359	1.390400	As-72   
0.010999	1.464000	As-72   
0.005117	1.475900	As-72   
0.001283	1.568200	As-72   
0.001164	1.680800	As-72   
0.002431	1.710900	As-72   
0.003371	1.991100	As-72   
0.006304	2.105900	As-72   
0.002702	2.109500	As-72   
0.004655	2.201700	As-72   
0.003084	2.248500	As-72   
0.003204	2.507800	As-72   
0.003857	2.621500	As-72   
0.002885	2.940100	As-72   
0.001020	3.803600	As-72   
0.018453	1.929500	As-72   
1.761200	0.511000	As-72   
0.019297	0.001190	As-73   
0.303290	0.009855	As-73   
0.592370	0.009886	As-73   
0.132560	0.011000	As-73   
0.103000	0.053437	As-73   
0.000888	0.013263	As-73   
0.002621	0.001190	As-74   
0.050698	0.009855	As-74   
0.099020	0.009886	As-74   
0.022158	0.011000	As-74   
0.598530	0.595880	As-74   
0.005506	0.608400	As-74   
0.002873	1.204300	As-74   
0.000921	1.194100	As-74   
0.592330	0.511000	As-74   
0.154350	0.634780	As-74   
0.000252	0.685370	As-74   
0.447000	0.559100	As-76   
